time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,0.000000,0.000000,0.000023
0.010000,0.000000,0.000013,0.000002,0.003347
0.015000,0.000000,0.000034,0.000005,0.003350
0.020000,0.000000,-0.000014,0.000012,-0.003523
0.025000,0.000000,-0.000036,0.000018,-0.003513
0.030000,0.000000,-0.000049,0.000020,-0.003455
0.035000,0.000000,-0.000070,0.000010,-0.003459
0.040000,0.000000,-0.000062,-0.000016,-0.002346
0.045000,0.000000,-0.000077,-0.000062,-0.002390
0.050000,-0.000000,-0.000066,-0.000125,-0.001578
0.055000,-0.000001,-0.000076,-0.000204,-0.001664
0.060000,-0.000003,-0.000299,-0.000295,-0.009488
0.065000,-0.000004,-0.000356,-0.000392,-0.009603
0.070000,-0.000007,-0.000308,-0.000489,-0.007006
0.075000,-0.000009,-0.000351,-0.000578,-0.007120
0.080000,-0.000012,-0.000003,-0.000654,0.003063
0.085000,-0.000016,0.000015,-0.000715,0.002983
0.090000,-0.000020,0.000418,-0.000762,0.012498
0.095000,-0.000024,0.000492,-0.000797,0.012454
0.100000,-0.000028,0.000739,-0.000823,0.016810
0.105000,-0.000032,0.003457,-0.000843,0.116080
0.110000,-0.000036,0.003928,-0.000857,0.113957
0.115000,-0.000040,0.004611,-0.000866,0.113945
0.120000,-0.000045,0.005068,-0.000868,0.114092
0.125000,-0.000049,0.005753,-0.000864,0.114092
0.130000,-0.000053,0.006226,-0.000855,0.115313
0.135000,-0.000058,0.006918,-0.000841,0.115323
0.140000,-0.000062,0.007392,-0.000820,0.115918
0.145000,-0.000066,0.008087,-0.000794,0.115941
0.150000,-0.000070,0.008456,-0.000761,0.112437
0.155000,-0.000073,0.009131,-0.000723,0.112476
0.160000,-0.000077,0.009225,-0.000678,0.101452
0.165000,-0.000080,0.009834,-0.000626,0.101508
0.170000,-0.000083,0.010236,-0.000567,0.101445
0.175000,-0.000086,0.010845,-0.000500,0.101521
0.180000,-0.000088,0.011374,-0.000428,0.104533
0.185000,-0.000090,0.012001,-0.000357,0.104619
0.190000,-0.000091,0.012740,-0.000289,0.111639
0.195000,-0.000093,0.013410,-0.000224,0.111719
0.200000,-0.000094,0.014016,-0.000162,0.114946
0.205000,-0.000094,0.002366,-0.000108,0.061606
0.210000,-0.000095,0.002600,-0.000064,0.062397
0.215000,-0.000095,0.002974,-0.000031,0.062441
0.220000,-0.000095,0.003217,-0.000011,0.064195
0.225000,-0.000095,0.003602,-0.000003,0.064208
0.230000,-0.000095,0.003856,-0.000007,0.063801
0.235000,-0.000095,0.004239,-0.000021,0.063787
0.240000,-0.000095,0.004539,-0.000043,0.067041
0.245000,-0.000095,0.004941,-0.000070,0.067010
0.250000,-0.000096,0.005018,-0.000098,0.057808
0.255000,-0.000096,0.005364,-0.000122,0.057775
0.260000,-0.000097,0.005315,-0.000137,0.047501
0.265000,-0.000098,0.005600,-0.000140,0.047491
0.270000,-0.000099,0.005875,-0.000134,0.050042
0.275000,-0.000099,0.006175,-0.000120,0.050054
0.280000,-0.000100,0.006406,-0.000099,0.050878
0.285000,-0.000100,0.006712,-0.000074,0.050907
0.290000,-0.000100,0.006908,-0.000052,0.050759
0.295000,-0.000101,0.007212,-0.000037,0.050782
0.300000,-0.000101,0.007304,-0.000033,0.048467
0.305000,-0.000101,-0.003665,-0.000040,0.016266
0.310000,-0.000101,-0.003670,-0.000055,0.018784
0.314999,-0.000102,-0.003557,-0.000076,0.018763
0.319999,-0.000102,-0.003513,-0.000105,0.021000
0.324999,-0.000103,-0.003387,-0.000143,0.020960
0.329999,-0.000104,-0.003293,-0.000188,0.017110
0.334999,-0.000105,-0.003191,-0.000239,0.017051
0.339999,-0.000106,-0.003200,-0.000293,0.005724
0.344999,-0.000108,-0.003166,-0.000353,0.005656
0.349999,-0.000110,-0.003183,-0.000416,0.002996
0.354999,-0.000112,-0.003165,-0.000480,0.002920
0.359999,-0.000114,-0.003187,-0.000543,0.001378
0.364999,-0.000117,-0.003178,-0.000602,0.001305
0.369999,-0.000120,-0.003057,-0.000655,0.005290
0.374999,-0.000124,-0.003025,-0.000695,0.005233
0.379999,-0.000127,-0.002993,-0.000722,0.005549
0.384999,-0.000131,-0.002959,-0.000734,0.005528
0.389999,-0.000135,-0.002975,-0.000734,0.004579
0.394998,-0.000138,-0.002948,-0.000726,0.004585
0.399998,-0.000142,-0.002699,-0.000711,0.009693
0.404998,-0.000146,0.003110,-0.000691,0.058864
0.409998,-0.000149,0.003308,-0.000665,0.059949
0.414998,-0.000152,0.003667,-0.000633,0.059985
0.419998,-0.000155,0.003860,-0.000595,0.062292
0.424998,-0.000158,0.004234,-0.000551,0.062341
0.429998,-0.000161,0.004492,-0.000503,0.061382
0.434998,-0.000163,0.004860,-0.000450,0.061443
0.439998,-0.000165,0.005100,-0.000393,0.058212
0.444998,-0.000167,0.005449,-0.000329,0.058284
0.449998,-0.000168,0.005587,-0.000259,0.049597
0.454998,-0.000169,0.005885,-0.000182,0.049686
0.459998,-0.000170,0.006084,-0.000101,0.049754
0.464998,-0.000170,0.006383,-0.000021,0.049852
0.469997,-0.000170,0.006852,0.000057,0.060387
0.474997,-0.000170,0.007214,0.000127,0.060477
0.479997,-0.000169,0.007641,0.000185,0.066310
0.484997,-0.000168,0.008039,0.000228,0.066371
0.489997,-0.000167,0.008184,0.000254,0.063196
0.494997,-0.000165,0.008563,0.000264,0.063217
0.499997,-0.000164,0.008929,0.000265,0.065849
0.504997,-0.000163,0.009765,0.000262,0.085251
0.509997,-0.000161,0.010048,0.000262,0.086684
0.514997,-0.000160,0.010568,0.000266,0.086687
0.519997,-0.000159,0.010892,0.000280,0.087587
0.524997,-0.000157,0.011418,0.000303,0.087609
0.529997,-0.000156,0.011767,0.000340,0.087733
0.534997,-0.000154,0.012294,0.000391,0.087786
0.539997,-0.000152,0.012646,0.000456,0.087221
0.544997,-0.000149,0.013169,0.000535,0.087309
0.549996,-0.000146,0.013547,0.000629,0.090891
0.554996,-0.000143,0.014093,0.000733,0.091012
0.559996,-0.000139,0.014556,0.000844,0.097131
0.564996,-0.000134,0.015139,0.000953,0.097266
0.569996,-0.000129,0.015343,0.001050,0.089529
0.574996,-0.000123,0.015880,0.001130,0.089638
0.579996,-0.000118,0.016245,0.001188,0.089884
0.584996,-0.000112,0.016784,0.001219,0.089938
0.589996,-0.000106,0.016948,0.001222,0.084556
0.594996,-0.000099,0.017456,0.001198,0.084544
0.599996,-0.000094,0.017570,0.001148,0.079154
0.604996,-0.000088,0.030146,0.001075,0.051630
0.609996,-0.000083,0.030411,0.000985,0.050224
0.614996,-0.000078,0.030712,0.000888,0.050109
0.619996,-0.000074,0.030880,0.000791,0.051190
0.624996,-0.000070,0.031187,0.000701,0.051077
0.629995,-0.000067,0.031452,0.000621,0.046717
0.634995,-0.000064,0.031732,0.000553,0.046627
0.639995,-0.000062,0.031942,0.000498,0.038598
0.644995,-0.000059,0.032174,0.000460,0.038540
0.649995,-0.000057,0.032364,0.000439,0.044009
0.654995,-0.000055,0.032628,0.000432,0.043992
0.659995,-0.000053,0.032816,0.000433,0.044791
0.664995,-0.000051,0.033085,0.000437,0.044795
0.669995,-0.000048,0.033168,0.000441,0.040493
0.674995,-0.000046,0.033411,0.000445,0.040496
0.679995,-0.000044,0.033171,0.000454,0.026659
0.684995,-0.000042,0.033331,0.000471,0.026672
0.689995,-0.000039,0.033838,0.000495,0.038113
0.694995,-0.000037,0.034067,0.000526,0.038145
0.699995,-0.000034,0.033642,0.000562,0.023952
0.704994,-0.000031,0.032440,0.000597,-0.000794
0.709994,-0.000028,0.032246,0.000631,0.003419
0.714994,-0.000025,0.032267,0.000661,0.003452
0.719994,-0.000021,0.032331,0.000690,0.001717
0.724994,-0.000018,0.032342,0.000711,0.001743
0.729994,-0.000014,0.032393,0.000719,-0.001104
0.734994,-0.000011,0.032386,0.000708,-0.001109
0.739994,-0.000007,0.032363,0.000675,0.003482
0.744994,-0.000004,0.032384,0.000621,0.003428
0.749994,-0.000001,0.032397,0.000545,0.003292
0.754994,0.000001,0.032416,0.000450,0.003191
0.759994,0.000003,0.032456,0.000341,0.004997
0.764994,0.000005,0.032486,0.000226,0.004865
0.769994,0.000005,0.032625,0.000112,0.010317
0.774994,0.000006,0.032687,0.000005,0.010188
0.779994,0.000005,0.032798,-0.000093,0.012576
0.784993,0.000005,0.032873,-0.000183,0.012467
0.789993,0.000004,0.032751,-0.000264,0.007455
0.794993,0.000002,0.032796,-0.000337,0.007369
0.799993,0.000000,0.032571,-0.000406,0.000983
0.804993,-0.000002,0.044264,-0.000473,0.057692
0.809993,-0.000005,0.044129,-0.000541,0.065530
0.814993,-0.000008,0.044522,-0.000610,0.065450
0.819993,-0.000011,0.044389,-0.000678,0.078738
0.824993,-0.000014,0.044861,-0.000743,0.078656
0.829993,-0.000018,0.045261,-0.000800,0.073273
0.834993,-0.000022,0.045700,-0.000849,0.073209
0.839993,-0.000027,0.045973,-0.000891,0.077549
0.844993,-0.000031,0.046438,-0.000924,0.077503
0.849993,-0.000036,0.046764,-0.000952,0.080388
0.854993,-0.000041,0.047246,-0.000973,0.080358
0.859993,-0.000046,0.047502,-0.000988,0.075637
0.864992,-0.000051,0.047956,-0.000997,0.075622
0.869992,-0.000056,0.048188,-0.001003,0.072316
0.874992,-0.000061,0.048622,-0.001005,0.072313
0.879992,-0.000066,0.048965,-0.001008,0.074232
0.884992,-0.000071,0.049411,-0.001014,0.074228
0.889992,-0.000076,0.049632,-0.001025,0.072030
0.894992,-0.000081,0.050065,-0.001043,0.072012
0.899992,-0.000087,0.050619,-0.001067,0.078644
0.904992,-0.000092,0.047392,-0.001095,0.071240
0.909992,-0.000097,0.047818,-0.001130,0.068220
0.914992,-0.000103,0.048227,-0.001174,0.068174
0.919992,-0.000109,0.048475,-0.001232,0.068962
0.924992,-0.000116,0.048888,-0.001305,0.068884
0.929992,-0.000122,0.049185,-0.001395,0.067538
0.934992,-0.000130,0.049590,-0.001507,0.067417
0.939991,-0.000138,0.049822,-0.001640,0.075031
0.944991,-0.000146,0.050271,-0.001791,0.074860
0.949991,-0.000156,0.050567,-0.001956,0.074076
0.954991,-0.000166,0.051011,-0.002124,0.073873
0.959991,-0.000177,0.051184,-0.002285,0.064691
0.964991,-0.000189,0.051572,-0.002434,0.064503
0.969991,-0.000202,0.051839,-0.002564,0.064835
0.974991,-0.000215,0.052228,-0.002669,0.064694
0.979991,-0.000228,0.052550,-0.002745,0.066900
0.984991,-0.000242,0.052952,-0.002790,0.066828
0.989991,-0.000256,0.053049,-0.002806,0.061822
0.994991,-0.000270,0.053420,-0.002791,0.061822
0.999991,-0.000284,0.054040,-0.002750,0.071230
1.004991,-0.000298,0.038822,-0.002686,0.021059
1.009991,-0.000311,0.038945,-0.002605,0.020298
1.014991,-0.000324,0.039067,-0.002514,0.020403
1.019992,-0.000336,0.038982,-0.002418,0.026010
1.024992,-0.000348,0.039139,-0.002320,0.026129
1.029992,-0.000359,0.039210,-0.002224,0.028231
1.034992,-0.000370,0.039380,-0.002131,0.028346
1.039993,-0.000380,0.039458,-0.002039,0.035938
1.044993,-0.000390,0.039674,-0.001945,0.036052
1.049993,-0.000400,0.039810,-0.001846,0.034503
1.054993,-0.000408,0.040017,-0.001741,0.034628
1.059994,-0.000417,0.040185,-0.001629,0.036900
1.064994,-0.000425,0.040407,-0.001513,0.037040
1.069994,-0.000432,0.040458,-0.001393,0.032563
1.074994,-0.000438,0.040654,-0.001267,0.032714
1.079994,-0.000444,0.040862,-0.001138,0.035588
1.084995,-0.000450,0.041076,-0.001009,0.035747
1.089995,-0.000454,0.041091,-0.000882,0.032101
1.094995,-0.000458,0.041284,-0.000759,0.032253
1.099995,-0.000462,0.041354,-0.000641,0.030853
1.104996,-0.000465,0.040533,-0.000519,-0.003138
1.109996,-0.000467,0.040237,-0.000393,0.002994
1.114996,-0.000468,0.040255,-0.000260,0.003149
1.119996,-0.000469,0.040297,-0.000118,0.002303
1.124997,-0.000469,0.040311,0.000031,0.002474
1.129997,-0.000469,0.040295,0.000187,0.004196
1.134997,-0.000467,0.040320,0.000348,0.004383
1.139997,-0.000465,0.040361,0.000510,-0.000104
1.144997,-0.000462,0.040361,0.000671,0.000087
1.149998,-0.000458,0.040342,0.000829,-0.003854
