time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000000,0.300030
0.010000,0.000013,0.300057
0.015000,0.000034,0.300105
0.020000,0.000015,0.300143
0.025000,0.000036,0.300210
0.030000,0.000050,0.300260
0.035000,0.000071,0.300344
0.040000,0.000064,0.300407
0.045000,0.000078,0.300509
0.050000,0.000068,0.300583
0.055000,0.000077,0.300704
0.060000,0.000298,0.300790
0.065000,0.000353,0.300928
0.070000,0.000303,0.301027
0.075000,0.000343,0.301183
0.080000,0.000023,0.301293
0.085000,0.000038,0.301468
0.090000,0.000436,0.301590
0.095000,0.000516,0.301782
0.100000,0.000766,0.301916
0.105000,0.004933,0.301283
0.110000,0.005322,0.301364
0.115000,0.005919,0.301490
0.120000,0.006333,0.301577
0.125000,0.006972,0.301712
0.130000,0.007421,0.301805
0.135000,0.008091,0.301949
0.140000,0.008554,0.302048
0.145000,0.009243,0.302201
0.150000,0.009623,0.302306
0.155000,0.010303,0.302468
0.160000,0.010441,0.302579
0.165000,0.011067,0.302750
0.170000,0.011483,0.302867
0.175000,0.012113,0.303047
0.180000,0.012647,0.303169
0.185000,0.013297,0.303358
0.190000,0.014024,0.303487
0.195000,0.014716,0.303684
0.200000,0.015325,0.303819
0.205000,0.021253,0.302969
0.210000,0.021702,0.303068
0.215000,0.022384,0.303219
0.220000,0.022840,0.303322
0.225000,0.023530,0.303479
0.230000,0.023993,0.303585
0.235000,0.024689,0.303749
0.240000,0.025165,0.303859
0.245000,0.025874,0.304028
0.250000,0.026310,0.304143
0.255000,0.027012,0.304318
0.260000,0.027424,0.304437
0.265000,0.028115,0.304618
0.270000,0.028594,0.304740
0.275000,0.029291,0.304927
0.280000,0.029763,0.305054
0.285000,0.030464,0.305247
0.290000,0.030930,0.305377
0.295000,0.031632,0.305576
0.300000,0.032075,0.305711
0.305000,0.034463,0.304754
0.310000,0.034927,0.304861
0.314999,0.035612,0.305024
0.319999,0.036072,0.305135
0.324999,0.036756,0.305302
0.329999,0.037212,0.305415
0.334999,0.037901,0.305587
0.339999,0.038365,0.305704
0.344999,0.039059,0.305880
0.349999,0.039524,0.305999
0.354999,0.040220,0.306180
0.359999,0.040686,0.306302
0.364999,0.041382,0.306488
0.369999,0.041838,0.306613
0.374999,0.042532,0.306803
0.379999,0.042994,0.306931
0.384999,0.043688,0.307126
0.389999,0.044153,0.307257
0.394998,0.044847,0.307456
0.399998,0.045297,0.307590
0.404998,0.058851,0.306572
0.409998,0.059469,0.306684
0.414998,0.060399,0.306854
0.419998,0.061017,0.306968
0.424998,0.061949,0.307142
0.429998,0.062571,0.307258
0.434998,0.063506,0.307435
0.439998,0.064129,0.307554
0.444998,0.065064,0.307735
0.449998,0.065680,0.307856
0.454998,0.066611,0.308041
0.459998,0.067233,0.308165
0.464998,0.068168,0.308352
0.469997,0.068819,0.308479
0.474997,0.069763,0.308670
0.479997,0.070414,0.308799
0.484997,0.071365,0.308994
0.489997,0.071985,0.309126
0.494997,0.072935,0.309325
0.499997,0.073583,0.309458
0.504997,0.035516,0.308402
0.509997,0.035832,0.308516
0.514997,0.036336,0.308690
0.519997,0.036668,0.308807
0.524997,0.037180,0.308983
0.529997,0.037523,0.309102
0.534997,0.038043,0.309282
0.539997,0.038392,0.309403
0.544997,0.038916,0.309586
0.549996,0.039277,0.309709
0.554996,0.039814,0.309895
0.559996,0.040210,0.310020
0.564996,0.040766,0.310209
0.569996,0.041070,0.310336
0.574996,0.041614,0.310528
0.579996,0.041980,0.310657
0.584996,0.042529,0.310852
0.589996,0.042818,0.310984
0.594996,0.043356,0.311182
0.599996,0.043625,0.311315
